Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,2412.393774,7806.266919,2212.85435,26.52196112,0,12.36814684,958.6674884,49.66355025,0,182.5652467,3715.07994,71023.7254,1391.694589,17397.0002,48462.7252,5164,663.1,22114.7996,74738.80534,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 29.987493353475404, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 19.926670295582003, 'Panhandle': 0}, 'Coastal': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 0.025717590114764016, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 1.0392875274084628, 'Coastal': 14.496107813947516, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 38.75730283078189, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.188186982,102.896223,45.07501975,131.8656838,104.0562881,385.0814017,8747.9997,19933.0108,2460,0,901.1002,650,3695.9001,0,399.4,10273.6972,2504,8517.025,2704,0,2047.4006,5495.0005,15957.7893,0,263.7,1768.8,0,359,0,0,7123.8016
2,5703.369595,11248.85308,2344.199211,51.25091888,4837.591081,0,742.1292442,7.755602112,0,0.930142411,3950.57994,86968.5004,115.8936681,17397.0002,64407.5002,5164,663.1,23684.7996,90919.08034,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 7.967714025730166, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 21.95555804731419, 'Panhandle': 0}, 'Coastal': {'Northeast': 4.527978529886133, 'West': 0, 'Coastal': 0, 'South': 3.508820808034719, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 2.129397112980156, 'Coastal': 8.107671224706085, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 47.299043829012, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.188186982,111.4236728,45.11577156,2.275996658,229.2201184,389.2237464,8747.9997,21133.0108,2460,0,901.1002,650,3695.9001,0,399.4,10273.6972,2504,16461.8,2704,0,2047.4006,5495.0005,22757.7893,0,263.7,1768.8,0,359,0,0,8693.8016
3,1245.967485,11531.88121,2301.693608,80.65946543,587.1080485,0,538.7239724,14.54991485,0,0,4186.07994,89768.5004,105.5855497,17397.0002,67207.5002,5164,663.1,25254.7996,93954.58034,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 7.951261709286677, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 22.80212088715332, 'Panhandle': 0}, 'Coastal': {'Northeast': 5.877709577866836, 'West': 0, 'Coastal': 0, 'South': 5.237533117189871, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 1.6469967260984515, 'Coastal': 2.665712496106009, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 55.788180564507165, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.188186982,119.9511225,45.06839995,0,228.384909,394.5926184,8747.9997,22333.0108,2460,0,901.1002,650,4095.9001,0,399.4,10273.6972,2504,17661.8,2704,0,2047.4006,5495.0005,22757.7893,0,263.7,1768.8,0,359,0,0,10263.8016
4,1158.014823,11297.71199,2268.513836,143.4085227,54.3023096,0,1021.627439,13.66275646,0,8.763728573,5549.98494,87843.0504,68.42231836,17397.0002,65282.0502,5164,2151.3,28394.6996,93393.03534,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 12.337753718283235, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 22.4619703002575, 'Panhandle': 0}, 'Coastal': {'Northeast': 3.464223647566533, 'West': 0, 'Coastal': 0, 'South': 6.275665632595707, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.7166193205120748, 'Coastal': 1.4814948550127207, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 72.80551562164163, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",4.002038006,137.0054788,45.04601615,0,213.9730292,400.0265622,8747.9997,22333.0108,2460,0,901.1002,650,3480.9001,0,1887.6,10273.6972,2504,16351.35,2704,0,2047.4006,5495.0005,22757.7893,0,263.7,1768.8,0,359,0,0,13403.7016
5,560.6071309,10946.65965,2251.758765,214.3448006,0,0,492.3258868,12.84264549,0,10.04174113,6913.88994,87638.0504,55.43859858,17397.0002,65077.0502,5164,3639.5,31534.5996,94551.94034,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 12.506463299616012, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 31.240826092015727, 'Panhandle': 0.3330467657772182}, 'Coastal': {'Northeast': 2.0551396903633514, 'West': 0, 'Coastal': 0, 'South': 3.982505313293739, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.1665893425228293, 'Coastal': 1.8403594920076027, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 81.2418143049256, 'West': 8.948748947324276, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",6.815889031,154.0598351,44.75182703,0.025609426,199.7638872,405.4170478,8747.9997,22333.0108,2460,0,901.1002,650,3480.9001,0,3375.8,10273.6972,2504,16146.35,2704,0,2047.4006,5495.0005,22757.7893,0,263.7,1768.8,0,359,0,0,16543.6016
1,Coastal,South,,,5479.001439,12.36814684,3753.474031,98.47446916,0,202.3008588,24315.6147,423241.827,1737.034723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Coastal,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Coastal,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Northeast,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Northeast,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Northeast,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Northeast,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Northeast,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Northeast,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,West,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Northeast,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 at last year ,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Northeast,West,Coastal,South,Panhandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
load ,27833.92888,6898.78268,19755.44796,17771.65723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power generation,19491.92133,6470.335337,17995.612,20360.63002,7941.318051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power charged,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power discharged,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transmission power ,8342.007547,428.4473428,1759.835957,-2588.972796,-7941.318051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curtailment ,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transmission at peak load ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal,South,-1796.442434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal,Northeast,18.30323876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal,Northeast,18.30323876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South,West,264.1767872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South,West,264.1767872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South,West,264.1767872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West,Panhandle,364.0830189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,Panhandle,-1186.485867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,Panhandle,-1186.485867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,Panhandle,-1186.485867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,Panhandle,-1186.485867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,Panhandle,-1186.485867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,Panhandle,-1186.485867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,Panhandle,-1186.485867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_investment_cost,11080.35281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cplex fullspace time,1519.778518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lb,75705.91463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ub,76009.23196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testing over all the repn days results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregated results for whole year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number of infeasible days,63.0018254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labels,"[2, 4, 8, 10, 9, 10, 9, 10, 2, 10, 8, 6, 9, 10, 8, 6, 2, 5, 2, 10, 9, 10, 2, 10, 2, 10, 8, 6, 9, 10, 2, 5, 8, 10, 8, 6, 9, 4, 2, 4, 8, 6, 2, 10, 9, 10, 2, 2, 2, 5, 8, 10, 8, 10, 2, 10, 8, 10, 8, 10, 5, 6, 5, 10, 2, 6, 2, 2, 2, 10, 5, 5, 8, 10, 2, 10, 2, 6, 2, 5, 2, 4, 9, 10, 5, 5, 5, 10, 5, 4, 3, 6, 5, 5, 5, 5, 5, 5, 9, 4, 5, 6, 8, 6, 2, 4, 5, 10, 8, 10, 2, 4, 9, 10, 3, 3, 3, 6, 2, 6, 3, 1, 3, 1, 3, 10, 7, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 4, 7, 1, 3, 6, 3, 3, 3, 1, 7, 1, 3, 1, 3, 3, 3, 1, 7, 5, 7, 1, 3, 1, 7, 1, 3, 1, 7, 1, 3, 6, 3, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 3, 1, 3, 1, 7, 1, 7, 1, 7, 4, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 3, 1, 3, 1, 3, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 3, 1, 7, 1, 3, 1, 7, 1, 7, 1, 7, 1, 7, 1, 3, 4, 7, 1, 3, 5, 9, 4, 9, 5, 5, 5, 3, 1, 7, 1, 3, 3, 3, 1, 9, 4, 2, 10, 9, 10, 8, 4, 8, 4, 9, 10, 9, 10, 8, 6, 8, 4, 8, 10, 2, 4, 8, 6, 8, 10, 8, 10, 2, 4, 9, 4, 9, 4, 9, 10, 9, 4, 9, 4, 9, 10, 8, 6, 2, 2, 2, 4, 9, 4, 9, 10, 9, 4, 9, 10, 8, 4, 8, 10, 2, 4, 8, 4, 8, 10, 8, 10, 9, 10, 9, 4, 8, 6, 9, 4, 8, 10, 8, 10, 9, 10, 8, 6, 9, 10, 8, 4, 8, 4, 9, 6, 9, 10, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_number,total_operating_cost,load_shedding_cost,variable_operating_cost,fixed_operating_cost,startup_cost,penalty_cost,Coastal_South,Coastal_Northeast,South_Northeast,South_West,West_Northeast,West_Panhandle,Northeast_Panhandle,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,1726077408,86043.58765,1726066785,1726036812,1726028364,1726027397,18.97093868,18.98583589,0,15.78878519,0,1.84782799,0.359263255,11.60148704,528.7081337,185.1848911,108.3892781,723.9900449,1557.873835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48815.37114,0,34233.58859,11379.01977,2867.764866,0,34.3778949,77.1906479,0,29.13052884,0,2.591209365,0.796314506,14.55425477,571.5008769,218.6999354,120.6534485,612.1749443,1537.58346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,70738.86737,0,59320.99896,11379.01977,7.606999213,0,53.3229342,61.41198441,0,82.97544171,0,0.209588314,1.166070269,14.19134685,277.2730691,226.1721186,151.9457713,1106.55281,1776.135116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,56185.95099,0,44501.44549,11379.01977,49.43008705,0,14.18545521,29.25516633,0,3.740650752,0,3.851584832,0,14.26108283,754.616558,226.00362,139.2967196,824.8613659,1959.039346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,54813.42884,0,42452.71843,11379.01977,721.5849545,0,8.259387641,44.61623036,0,5.165856635,0,5.98396389,0,13.21263933,670.2363569,223.9785795,129.1599028,788.1450617,1824.73254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
